timestamp;x;y;z
1.329988;0.245117;0.864746;0.459473
1.330457;0.243896;0.861816;0.459473
1.330832;0.242920;0.862793;0.459473
1.331193;0.243896;0.863770;0.461182
1.427220;0.243652;0.863770;0.460693
1.428090;0.244873;0.862549;0.464355
1.428468;0.246826;0.861084;0.463135
1.428828;0.245117;0.861572;0.461670
1.526061;0.244141;0.862549;0.459961
1.526537;0.242676;0.861816;0.459229
1.526920;0.244629;0.863770;0.460693
1.527343;0.245361;0.862793;0.462646
1.768692;0.246094;0.862549;0.463867
1.769214;0.244141;0.863281;0.460449
1.769596;0.246338;0.862549;0.461426
1.769963;0.244385;0.863770;0.460693
1.771334;0.245850;0.862549;0.463135
1.771700;0.242432;0.862793;0.466553
1.772053;0.247070;0.862793;0.463623
1.772409;0.247559;0.856689;0.460693
1.880929;0.249512;0.858398;0.459717
1.881384;0.247314;0.860107;0.465576
1.881756;0.245605;0.859619;0.462646
1.882114;0.245605;0.863281;0.464844
2.012679;0.245850;0.860596;0.464844
2.013193;0.247559;0.860596;0.462891
2.013564;0.247314;0.859131;0.458496
2.013926;0.250244;0.858398;0.458984
2.124977;0.250000;0.857422;0.463379
2.125416;0.247559;0.858154;0.463135
2.125602;0.247803;0.859619;0.464844
2.125845;0.248535;0.859375;0.462646
2.255916;0.250244;0.858154;0.462646
2.256505;0.249512;0.861084;0.462891
2.256887;0.248291;0.857422;0.460938
2.257256;0.248779;0.861328;0.466064
2.406021;0.250244;0.862793;0.457764
2.406480;0.248535;0.856689;0.457764
2.406851;0.250244;0.860352;0.462891
2.407208;0.247314;0.859619;0.466797
2.518428;0.250732;0.860352;0.469727
2.518874;0.252197;0.857422;0.461426
2.519447;0.252930;0.860840;0.463867
2.519811;0.251953;0.861572;0.463623
2.649634;0.252441;0.858887;0.460938
2.650094;0.254883;0.855469;0.462646
2.650578;0.253418;0.857910;0.464355
2.650945;0.254639;0.856445;0.462891
2.762886;0.252686;0.859863;0.464600
2.763391;0.252930;0.857666;0.462158
2.763772;0.256104;0.853760;0.464355
2.764134;0.256348;0.857666;0.461426
2.893489;0.256836;0.854004;0.464600
2.893945;0.252686;0.859375;0.464111
2.894322;0.256348;0.853760;0.462402
2.895097;0.257080;0.853760;0.461670
3.025299;0.254883;0.854004;0.465576
3.025787;0.253418;0.856201;0.466553
3.026165;0.253418;0.855957;0.468994
3.026529;0.255615;0.853271;0.468994
3.137767;0.256348;0.854004;0.463867
3.138250;0.256104;0.859863;0.461670
3.138625;0.249512;0.860352;0.458252
3.138988;0.247070;0.859375;0.459717
3.268429;0.250000;0.860840;0.463135
3.269039;0.248291;0.858887;0.465576
3.269418;0.249756;0.858398;0.467773
3.269780;0.247070;0.857666;0.465820
3.489894;0.252686;0.857422;0.463867
3.490620;0.253906;0.856934;0.463623
3.491003;0.254395;0.853271;0.468994
3.491370;0.252686;0.857422;0.468506
3.587541;0.252930;0.857910;0.461426
3.588489;0.250732;0.856934;0.458984
3.588877;0.247559;0.863281;0.457275
3.589246;0.245117;0.866943;0.456543
3.685738;0.243896;0.861328;0.457520
3.686145;0.246094;0.862793;0.462158
3.686512;0.245361;0.863037;0.461426
3.686876;0.246826;0.863281;0.463867
3.782288;0.248047;0.859131;0.461670
3.782743;0.249512;0.858398;0.461182
3.783225;0.251709;0.858398;0.460938
3.783591;0.247559;0.861084;0.460938
3.977339;0.241455;0.863525;0.458984
3.977786;0.240479;0.864014;0.456299
3.980544;0.239258;0.866943;0.458008
3.980937;0.242188;0.868164;0.459961
4.075178;0.242432;0.862793;0.459717
4.075809;0.244873;0.863281;0.462402
4.076191;0.246338;0.865479;0.456055
4.076554;0.241455;0.863770;0.456299
4.172264;0.242188;0.864746;0.454834
4.172740;0.240479;0.864014;0.459473
4.173115;0.242432;0.862305;0.461182
4.173477;0.242188;0.862061;0.462158
4.270698;0.242676;0.862305;0.463623
4.271099;0.243408;0.864502;0.460205
4.271469;0.243164;0.864746;0.457275
4.271830;0.243408;0.864502;0.455811
4.855374;0.242188;0.864746;0.459961
4.856547;0.241943;0.862549;0.458008
4.856931;0.241699;0.863037;0.460449
4.857358;0.241943;0.862549;0.457275
4.952635;0.241211;0.863281;0.460449
4.953394;0.242432;0.864746;0.457764
4.953786;0.243652;0.864502;0.459229
4.954361;0.246338;0.861084;0.464355
4.956452;0.246094;0.863770;0.460449
4.956825;0.246338;0.864014;0.456543
4.957182;0.244629;0.863525;0.456543
4.957533;0.244873;0.865234;0.459473
5.050219;0.245605;0.863037;0.463867
5.050986;0.244629;0.861084;0.463867
5.051509;0.246338;0.860596;0.464111
5.051880;0.246338;0.862305;0.464844
5.146981;0.248291;0.859863;0.460205
5.147949;0.246582;0.860840;0.459473
5.148464;0.248779;0.859863;0.460693
5.148982;0.249023;0.860840;0.461914
5.149970;0.247314;0.860352;0.461182
5.150329;0.249023;0.858398;0.462402
5.150679;0.250244;0.859375;0.462891
5.151031;0.251953;0.856934;0.460938
5.151923;0.250977;0.862305;0.462891
5.152283;0.250732;0.858154;0.462646
5.152636;0.249512;0.859131;0.464844
5.152989;0.252441;0.859619;0.459229
5.348747;0.250244;0.857422;0.456299
5.349153;0.249756;0.860840;0.460693
5.349519;0.251953;0.862305;0.463867
5.349877;0.251221;0.856689;0.462891
5.440339;0.251709;0.858887;0.462891
5.440850;0.252441;0.859375;0.462402
5.441302;0.252930;0.857910;0.459717
5.441665;0.251953;0.858398;0.460449
5.537408;0.252197;0.859375;0.462402
5.537887;0.252441;0.859863;0.462646
5.538258;0.251465;0.858398;0.461182
5.539828;0.251709;0.861084;0.464355
5.732298;0.251709;0.859375;0.462158
5.764904;0.253906;0.857178;0.460693
5.765445;0.252930;0.862549;0.462402
5.765812;0.250732;0.856689;0.463867
5.831214;0.250977;0.862305;0.464111
5.831681;0.252930;0.858887;0.459961
5.832103;0.250732;0.856934;0.457275
5.832355;0.249512;0.861084;0.460205
5.927070;0.248291;0.859863;0.464844
5.927229;0.247314;0.858887;0.464355
5.927280;0.249512;0.858398;0.463623
5.927384;0.250244;0.859375;0.462646
6.121984;0.250244;0.859863;0.459473
6.122109;0.249023;0.858887;0.459961
6.122190;0.249268;0.858398;0.459961
6.122234;0.249756;0.859375;0.461670
6.219200;0.247803;0.860107;0.463135
6.219367;0.249023;0.859863;0.462891
6.219477;0.249756;0.860107;0.462402
6.219588;0.248779;0.857178;0.458496
6.316917;0.246582;0.863770;0.459473
6.317074;0.245605;0.860840;0.464600
6.317188;0.248291;0.861572;0.461914
6.317274;0.247803;0.858643;0.458008
6.512767;0.246338;0.858887;0.457031
6.512934;0.245361;0.865967;0.456299
6.513113;0.242188;0.864746;0.459473
6.513249;0.244873;0.863770;0.462158
6.609988;0.246094;0.862549;0.465088
6.610609;0.248535;0.858154;0.463379
6.610992;0.245605;0.861084;0.459717
6.611357;0.245117;0.864258;0.456787
6.707406;0.243164;0.864014;0.455078
6.707896;0.242920;0.865479;0.458496
6.708273;0.242676;0.864502;0.458252
6.708648;0.244141;0.866455;0.457031
6.805419;0.241699;0.862549;0.458252
6.805893;0.241943;0.864990;0.457031
6.806272;0.241211;0.864746;0.457520
6.806636;0.243164;0.863281;0.460938
7.013012;0.244385;0.865234;0.456543
7.013558;0.243408;0.863281;0.457031
7.013940;0.242188;0.862549;0.457275
7.014310;0.243164;0.865723;0.455322
7.100757;0.241699;0.863770;0.457520
7.100839;0.240479;0.864990;0.457275
7.101049;0.241455;0.861328;0.462158
7.101519;0.243652;0.865479;0.459717
7.194249;0.242920;0.864502;0.458496
7.194345;0.242432;0.864014;0.456543
7.194410;0.241943;0.864014;0.457031
7.194435;0.241455;0.866211;0.458984
7.390083;0.240967;0.863037;0.458496
7.390227;0.244385;0.865234;0.457764
7.390315;0.245605;0.862793;0.462646
7.390399;0.247070;0.860107;0.459473
7.486909;0.244385;0.863037;0.460449
7.487014;0.243896;0.861572;0.464600
7.487102;0.242920;0.866211;0.459717
7.487189;0.246338;0.863037;0.457520
7.681789;0.244385;0.859863;0.458008
7.681976;0.245361;0.863037;0.458740
7.682129;0.246582;0.862305;0.461426
7.682167;0.245850;0.862793;0.463135
7.779880;0.247314;0.860840;0.463135
7.780073;0.249268;0.860352;0.462891
7.780162;0.248291;0.859619;0.460449
7.780284;0.248291;0.860352;0.459717
7.877371;0.248535;0.858643;0.459717
7.877779;0.249268;0.860107;0.460938
7.878159;0.249268;0.861084;0.462402
7.878303;0.251221;0.862549;0.463379
7.974979;0.252441;0.864258;0.474121
7.975286;0.249023;0.858398;0.466553
7.975424;0.249756;0.852051;0.452881
7.975604;0.251709;0.849854;0.456543
8.072731;0.252441;0.863281;0.464600
8.072891;0.253906;0.854004;0.459717
8.073081;0.250732;0.854004;0.459717
8.073188;0.252686;0.860596;0.463623
8.267168;0.249268;0.859863;0.465088
8.267290;0.250977;0.859863;0.466797
8.267348;0.253174;0.858643;0.465576
8.267401;0.255127;0.854736;0.463867
8.365068;0.255127;0.856445;0.463135
8.365376;0.253418;0.859863;0.463135
8.365521;0.252441;0.858398;0.461182
8.365711;0.250488;0.856689;0.462158
8.466041;0.248779;0.859131;0.466064
8.466451;0.250488;0.858398;0.464111
8.466823;0.252441;0.856934;0.460449
8.467187;0.253418;0.862305;0.462646
9.077209;0.250977;0.857422;0.462646
9.077243;0.250732;0.861084;0.467041
9.077265;0.253906;0.857910;0.459473
9.077286;0.250732;0.855469;0.459961
9.159701;0.250732;0.859619;0.461426
9.159724;0.247803;0.859131;0.462402
9.159750;0.248291;0.859131;0.464600
9.159769;0.250244;0.859619;0.463379
9.338686;0.249268;0.858154;0.465088
9.338730;0.250977;0.860596;0.463867
9.338751;0.250488;0.860596;0.461914
9.338770;0.249756;0.859131;0.459717
9.436706;0.250000;0.858887;0.461670
9.436847;0.246826;0.858398;0.462891
9.436870;0.248779;0.860352;0.460938
9.436889;0.248291;0.858398;0.460693
9.438536;0.250488;0.861572;0.462158
9.438567;0.248779;0.859131;0.461182
9.438587;0.248535;0.857910;0.461670
9.438606;0.247803;0.862061;0.460449
9.534287;0.245117;0.860107;0.458008
9.534376;0.246338;0.860840;0.458496
9.534418;0.244385;0.863037;0.460449
9.534456;0.246582;0.860107;0.460938
9.632392;0.245850;0.860596;0.460938
9.632488;0.244873;0.860352;0.460205
9.632764;0.245361;0.863037;0.462891
9.632836;0.244141;0.864014;0.458984
9.730332;0.244385;0.861572;0.459961
9.730505;0.244141;0.862793;0.459473
9.730643;0.244629;0.862549;0.459961
9.730811;0.240967;0.862793;0.458740
