timestamp;value
2.035897;0.746640
3.010774;0.978928
3.872190;0.862784
4.733815;0.862784
5.431862;0.696864
6.293631;0.862784
7.349166;1.045296
8.194853;0.846192
8.958324;0.763232
9.868342;0.912560
11.072967;0.995520
11.932467;1.012112
13.010211;0.846192
13.687697;0.912560
14.564583;0.879376
15.542643;0.945744
16.614561;1.144848
18.075066;0.895968
18.468374;0.879376
19.735741;1.211216
20.417425;0.796416
20.512093;0.066368
21.780693;0.945744
22.365269;0.879376
23.146519;0.846192
24.316814;0.912560
25.192734;0.978928
26.169231;0.978928
27.048706;0.995520
27.925261;0.929152
29.094820;0.962336
30.168934;1.012112
31.042356;1.045296
32.120468;1.028704
33.191341;0.879376
33.869801;0.962336
35.137772;0.995520
35.822029;0.929152
36.895123;0.862784
37.577530;0.895968
38.555145;0.995520
39.527653;1.012112
40.598083;0.995520
41.572620;1.012112
42.645008;1.045296
43.624950;0.945744
44.499622;0.895968
45.572643;0.945744
46.547012;0.978928
47.326080;0.962336
48.595112;1.061888
49.470478;1.078480
50.934959;1.095072
51.531296;0.962336
52.493546;0.978928
53.565311;0.995520
54.540287;1.028704
56.005436;1.061888
56.883526;0.962336
57.855713;1.244400
59.126347;1.078480
60.002216;1.128256
61.072716;1.012112
62.246708;1.028704
63.120449;1.061888
64.387962;0.995520
65.559387;1.028704
66.146683;1.028704
67.608215;0.995520
68.190529;0.995520
69.263084;1.045296
70.727661;1.128256
71.408821;1.061888
72.676796;1.078480
73.553482;1.061888
74.724960;1.012112
75.991165;0.929152
76.482994;0.995520
77.652176;1.012112
78.725197;0.995520
79.793304;0.945744
80.475922;0.978928
81.552650;1.012112
82.425812;0.945744
83.402153;0.962336
84.572845;0.995520
85.353546;1.045296
86.533829;1.012112
87.497673;1.078480
88.573227;1.078480
89.741661;0.995520
90.615852;1.045296
91.885414;1.061888
92.665695;1.028704
93.736214;0.995520
95.103470;0.978928
95.687859;1.012112
96.955765;0.995520
97.834419;0.945744
98.711624;0.895968
99.881119;0.945744
100.368271;0.912560
101.341064;0.912560
102.222290;0.945744
103.391052;0.945744
104.268356;0.929152
105.438263;0.929152
106.021568;0.962336
106.996132;0.962336
107.875900;0.945744
108.850533;0.929152
109.728249;0.895968
110.800621;0.879376
111.581474;0.796416
112.262138;0.846192
113.628296;0.945744
114.503754;1.244400
115.773674;0.929152
116.358391;0.995520
117.432877;1.028704
118.797005;1.045296
119.675026;1.012112
120.845840;1.061888
121.429008;0.895968
122.501480;0.895968
123.184219;0.879376
124.353050;0.746640
124.746010;0.796416
125.721375;0.895968
126.691505;0.978928
127.862526;0.962336
128.544250;0.929152
129.909561;0.929152
130.789490;0.962336
131.374237;0.962336
132.346542;0.945744
133.423584;0.945744
134.592117;0.962336
135.176788;0.962336
136.249390;0.929152
137.028763;0.912560
138.200439;0.895968
138.879257;0.895968
139.661301;0.846192
140.831802;0.879376
141.708969;0.912560
142.391602;0.929152
143.661102;0.945744
144.633911;0.945744
145.314774;0.995520
146.682114;0.978928
147.266800;0.945744
148.143219;0.895968
149.021729;0.912560
149.996078;0.929152
150.872467;0.879376
151.851685;0.813008
152.531479;0.846192
153.508179;0.862784
154.285477;0.912560
155.358810;0.912560
156.139297;0.929152
157.407852;0.945744
158.379898;0.995520
159.161758;1.045296
160.622696;1.028704
161.112305;0.995520
162.379929;1.012112
163.549133;1.012112
164.134583;0.995520
165.597061;1.045296
166.277390;1.045296
