timestamp;value
0.224011;0.704000
0.928011;0.721000
1.649011;0.806000
2.455011;0.823000
3.278011;0.876000
4.154011;0.794000
4.948011;0.753000
5.701011;0.760000
6.461011;0.718000
7.179011;0.694000
7.873011;0.647000
8.520011;0.626000
9.146011;0.637000
9.783011;0.656000
10.439011;0.663000
11.102011;0.712000
11.814011;0.680000
12.494011;0.665000
13.159011;0.638000
13.797011;0.621000
14.418011;0.643000
15.061011;0.623000
15.684011;0.648000
16.332010;0.651000
16.983011;0.626000
17.609011;0.641000
18.250011;0.632000
18.882011;0.659000
19.541012;0.672000
20.213011;0.693000
20.906012;0.695000
21.601011;0.703000
22.304010;0.696000
23.000011;0.690000
23.690012;0.669000
24.359011;0.650000
25.009010;0.645000
25.654011;0.666000
26.320011;0.687000
27.007011;0.703000
27.710011;0.725000
28.435011;0.803000
29.238010;0.811000
30.049011;0.779000
30.828011;0.767000
31.595011;0.734000
32.329010;0.720000
33.049011;0.716000
33.765011;0.735000
34.500011;0.769000
35.269012;0.780000
36.049011;0.798000
36.847012;0.815000
37.662010;0.770000
38.432011;0.723000
39.155010;0.693000
39.848011;0.711000
40.559010;0.740000
41.299011;0.777000
42.076012;0.762000
42.838013;0.768000
43.606010;0.779000
44.385010;0.742000
45.127010;0.729000
45.856010;0.742000
46.598011;0.741000
47.339012;0.723000
48.062012;0.747000
48.809010;0.755000
49.564011;0.723000
50.287010;0.731000
51.018013;0.719000
51.737011;0.739000
52.476009;0.700000
53.176010;0.686000
53.862011;0.706000
54.568012;0.728000
55.296013;0.727000
56.023010;0.767000
56.790012;0.781000
57.571011;0.805000
58.376011;0.790000
59.166012;0.783000
59.949013;0.799000
60.748013;0.791000
61.539013;0.761000
62.300011;0.768000
63.068012;0.769000
63.837009;0.772000
64.609009;0.736000
65.345009;0.754000
66.099014;0.776000
66.875008;0.864000
67.739014;0.878000
68.617012;0.836000
69.453011;0.807000
70.260010;0.758000
71.018013;0.732000
71.750008;0.743000
72.493011;0.745000
73.238014;0.768000
74.006012;0.763000
74.769012;0.835000
75.604012;0.799000
76.403008;0.744000
77.147011;0.761000
77.908012;0.767000
78.675011;0.733000
79.408012;0.694000
80.102013;0.686000
80.788010;0.690000
81.478012;0.737000
82.215012;0.774000
82.989014;0.738000
83.727013;0.776000
84.503014;0.769000
85.272011;0.735000
86.007011;0.729000
86.736008;0.746000
87.482010;0.763000
88.245010;0.734000
88.979012;0.753000
89.732010;0.763000
90.495010;0.740000
91.235008;0.765000
92.000008;0.769000
92.769012;0.763000
93.532013;0.750000
94.282013;0.759000
95.041008;0.755000
95.796013;0.736000
96.532013;0.740000
97.272011;0.732000
98.004013;0.716000
98.720009;0.706000
99.426010;0.710000
100.136009;0.660000
100.796013;0.655000
101.451012;0.699000
102.150009;0.713000
102.863014;0.717000
103.580009;0.735000
104.315010;0.717000
105.032013;0.708000
105.740013;0.682000
106.422012;0.698000
107.120010;0.702000
