timestamp;x;y;z
0.931124;-0.921143;-0.269287;0.239746
0.931613;-0.936523;-0.294922;0.179443
0.931992;-0.917725;-0.213867;0.137939
0.932357;-0.954102;-0.205811;0.128174
1.028285;-0.974121;-0.270264;0.104492
1.028920;-0.960693;-0.365479;0.090088
1.029303;-0.955566;-0.419922;0.089355
1.029769;-0.938477;-0.413818;0.101562
1.125548;-0.943359;-0.339111;0.123291
1.126013;-0.904785;-0.321533;0.083740
1.126422;-0.929688;-0.290039;0.122559
1.126792;-0.948975;-0.238525;0.193359
1.320962;-0.941895;-0.285889;0.176270
1.321431;-0.938477;-0.309814;0.159424
1.321811;-0.931152;-0.304932;0.165283
1.322175;-0.934570;-0.303223;0.152100
1.418044;-0.947510;-0.294678;0.136963
1.418526;-0.953857;-0.291260;0.144775
1.418904;-0.947510;-0.293213;0.143311
1.419429;-0.954102;-0.304199;0.124512
1.516352;-0.944580;-0.336182;0.093506
1.516758;-0.931885;-0.365723;0.088379
1.517127;-0.897461;-0.374023;0.086670
1.517488;-0.869629;-0.385742;0.099609
1.612999;-0.859863;-0.375732;0.119873
1.613918;-0.869629;-0.350586;0.135010
1.614304;-0.931396;-0.320312;0.159180
1.614678;-1.009521;-0.298584;0.182617
1.759229;-1.105469;-0.150879;0.335938
1.759763;-1.241699;0.165039;0.638428
1.760142;-1.127197;0.300293;0.676270
1.760505;-0.922363;-0.012939;0.482910
1.873052;-0.926514;-0.033447;0.392822
1.873529;-0.971680;-0.225342;0.284912
1.873908;-0.928711;-0.253906;0.189209
1.874270;-0.951416;-0.306152;0.194580
1.986903;-0.924805;-0.272217;0.182861
1.987388;-0.918701;-0.260010;0.176270
1.987773;-0.900391;-0.256348;0.174072
1.988139;-0.913818;-0.288818;0.179688
2.116827;-0.920898;-0.285645;0.179443
2.117320;-0.928955;-0.271484;0.196777
2.117795;-0.927734;-0.246826;0.213135
2.118156;-0.942383;-0.151123;0.260742
2.247094;-0.952637;-0.100098;0.351562
2.247542;-0.984375;-0.019531;0.436523
2.247924;-0.905762;-0.056152;0.455811
2.248286;-0.878174;-0.145020;0.418701
2.360840;-0.895020;-0.219727;0.348633
2.361346;-0.895264;-0.224121;0.302246
2.361724;-0.889648;-0.272705;0.250488
2.362090;-0.884521;-0.275391;0.230469
2.474227;-0.887207;-0.280029;0.212402
2.474680;-0.909424;-0.264893;0.216553
2.475178;-0.951904;-0.260742;0.245850
2.475550;-0.987793;-0.270264;0.290771
2.620011;-0.970703;-0.212158;0.337646
2.620498;-0.913086;-0.217285;0.313965
2.620876;-0.905029;-0.226562;0.277588
2.621246;-0.916504;-0.238281;0.233643
2.751185;-0.881104;-0.285156;0.200684
2.751664;-0.949951;-0.264893;0.197021
2.752041;-0.913818;-0.268799;0.176514
2.752406;-0.895752;-0.274414;0.152588
2.864671;-0.892822;-0.287354;0.142578
2.865120;-0.957275;-0.307129;0.136475
2.865496;-1.042725;-0.333984;0.159424
2.866546;-1.056641;-0.331787;0.173828
3.091560;-1.011719;-0.316162;0.188477
3.092193;-0.968750;-0.303223;0.195557
3.092574;-0.930420;-0.293701;0.190430
3.092939;-0.923340;-0.285156;0.190186
3.189269;-0.931641;-0.279053;0.196289
3.189729;-0.928711;-0.274658;0.188721
3.190106;-0.922119;-0.295166;0.164062
3.190475;-0.914307;-0.310303;0.155518
3.287791;-0.927734;-0.316895;0.142090
3.288180;-0.963379;-0.324951;0.139893
3.288551;-0.949951;-0.322021;0.146729
3.288914;-0.936523;-0.319580;0.163086
3.384439;-0.938232;-0.299805;0.174072
3.385043;-0.960693;-0.288818;0.200684
3.385429;-0.979004;-0.272461;0.212891
3.385795;-0.990234;-0.251221;0.211670
3.579314;-0.959229;-0.250977;0.206787
3.579795;-0.926514;-0.268066;0.192627
3.580596;-0.913818;-0.282471;0.170166
3.580965;-0.930420;-0.277344;0.156982
3.676994;-0.951660;-0.282715;0.151367
3.677598;-0.931885;-0.301025;0.156738
3.677983;-0.918945;-0.300781;0.144287
3.678350;-0.905029;-0.309814;0.151123
3.774296;-0.903564;-0.298828;0.154297
3.774744;-0.910400;-0.290039;0.159668
3.775242;-0.923584;-0.285156;0.160889
3.775609;-0.959229;-0.309814;0.145264
3.872563;-0.980957;-0.328613;0.141846
3.872966;-0.986572;-0.304688;0.131836
3.873340;-0.987549;-0.307617;0.123535
3.873703;-0.990479;-0.316895;0.121338
4.457880;-0.984375;-0.324463;0.123047
4.458912;-0.964355;-0.300049;0.128906
4.459300;-0.960205;-0.293945;0.134033
4.460312;-0.964355;-0.292969;0.120850
4.461278;-0.961670;-0.302490;0.111816
4.461637;-0.959473;-0.298340;0.108643
4.461994;-0.952393;-0.299316;0.107666
4.462346;-0.948730;-0.301758;0.105469
4.555369;-0.954346;-0.303467;0.098633
4.555775;-0.960693;-0.311768;0.096924
4.556144;-0.968018;-0.316162;0.089111
4.556509;-0.958984;-0.319580;0.083496
4.651737;-0.954834;-0.327881;0.088379
4.652194;-0.935059;-0.328125;0.089844
4.652572;-0.922607;-0.331787;0.096680
4.653102;-0.915527;-0.323975;0.101074
4.749633;-0.906250;-0.319580;0.103516
4.750025;-0.925293;-0.316650;0.102783
4.750396;-0.966797;-0.325195;0.102295
4.750757;-1.025879;-0.333008;0.081299
4.848804;-1.007080;-0.347656;0.099609
4.849731;-0.895752;-0.346680;0.127197
4.850114;-0.853271;-0.328857;0.160156
4.850475;-0.903320;-0.331543;0.195557
4.850951;-0.992920;-0.303223;0.207764
4.851312;-1.104980;-0.257080;0.285645
4.851670;-1.081543;-0.259033;0.334229
4.852026;-0.981689;-0.248535;0.363281
4.944341;-0.934570;-0.229004;0.345215
4.944852;-0.922363;-0.190674;0.319092
4.945343;-0.928955;-0.141846;0.313965
4.945712;-0.914795;-0.093994;0.301270
5.042290;-0.884277;-0.084473;0.288086
5.042943;-0.845459;-0.120117;0.263916
5.043322;-0.797363;-0.148682;0.239990
5.043687;-0.753174;-0.166260;0.222900
5.139456;-0.732666;-0.165283;0.224121
5.139959;-0.765625;-0.151611;0.233643
5.140336;-0.802246;-0.148438;0.244141
